Subject,Cat #,Section,Code,Instructor
ACBS,160D1,3,ACBS 160D1 3,"Steklis,Horst D"
ACBS,160D1,3,ACBS 160D1 3,"Steklis,Netzin G"
ACBS,160D1,403,ACBS 160D1 403,"Steklis,Horst D"
ACBS,160D1,403,ACBS 160D1 403,"Steklis,Netzin G"
ACBS,301,102,ACBS 301 102,"Broneck,Katherine Louise"
ACBS,301,402,ACBS 301 402,"Broneck,Katherine Louise"
ACBS,320,101,ACBS 320 101,"Engeljohn,Daniel L"
ACBS,320,401,ACBS 320 401,"Engeljohn,Daniel L"
ACBS,380R,101,ACBS 380R 101,"Cooper,Margarethe A"
ACBS,380R,401,ACBS 380R 401,"Cooper,Margarethe A"
ACBS,437,101,ACBS 437 101,"Engeljohn,Daniel L"
ACBS,437,401,ACBS 437 401,"Engeljohn,Daniel L"
ACBS,447,101,ACBS 447 101,"Broneck,Katherine Louise"
ACBS,447,401,ACBS 447 401,"Broneck,Katherine Louise"
ACBS,527R,102,ACBS 527R 102,"Orbach,Marc Joel"
ACBS,527R,401,ACBS 527R 401,"Orbach,Marc Joel"
AED,150A1,101,AED 150A1 101,"Kaczowka,Angela"
AED,150A1,401,AED 150A1 401,"Kaczowka,Angela"
AED,210,101,AED 210 101,"Kaczowka,Angela"
AED,210,401,AED 210 401,"Kaczowka,Angela"
AFAS,160A1,101,AFAS 160A1 101,"Machibya,Telesphory R"
AFAS,160A1,102,AFAS 160A1 102,"Ijagbemi,Bayo"
AFAS,160A1,401,AFAS 160A1 401,"Machibya,Telesphory R"
AFAS,160A1,402,AFAS 160A1 402,"Ijagbemi,Bayo"
AFAS,200,101,AFAS 200 101,"Donahue,Jennifer Lynn"
AFAS,200,401,AFAS 200 401,"Donahue,Jennifer Lynn"
AFAS,208,101,AFAS 208 101,"Lawrance,Benjamin N"
AFAS,208,401,AFAS 208 401,"Lawrance,Benjamin N"
AFAS,220,102,AFAS 220 102,"Machibya,Telesphory R"
AFAS,220,402,AFAS 220 402,"Machibya,Telesphory R"
AFAS,223,101,AFAS 223 101,"Machibya,Telesphory R"
AFAS,223,401,AFAS 223 401,"Machibya,Telesphory R"
AFAS,224,101,AFAS 224 101,"Pierce,Mary L"
AFAS,224,401,AFAS 224 401,"Pierce,Mary L"
AFAS,302,101,AFAS 302 101,"Ijagbemi,Bayo"
AFAS,302,401,AFAS 302 401,"Ijagbemi,Bayo"
AFAS,304B,101,AFAS 304B 101,"Machibya,Telesphory R"
AFAS,304B,401,AFAS 304B 401,"Machibya,Telesphory R"
AFAS,342,101,AFAS 342 101,"Abana,Yuxuf A"
AFAS,342,102,AFAS 342 102,"Abana,Yuxuf A"
AFAS,342,401,AFAS 342 401,"Abana,Yuxuf A"
AFAS,342,402,AFAS 342 402,"Abana,Yuxuf A"
AFAS,376,101,AFAS 376 101,"Abana,Yuxuf A"
AFAS,376,102,AFAS 376 102,"Abana,Yuxuf A"
AFAS,376,401,AFAS 376 401,"Abana,Yuxuf A"
AFAS,376,402,AFAS 376 402,"Abana,Yuxuf A"
AFAS,400,101,AFAS 400 101,"Zenenga,Praise"
AFAS,400,401,AFAS 400 401,"Zenenga,Praise"
AFAS,436,101,AFAS 436 101,"Hemphill,Katie"
AFAS,436,401,AFAS 436 401,"Hemphill,Katie"
AGTM,120,101,AGTM 120 101,"Jondall,Dava R"
AGTM,120,101,AGTM 120 101,"Yitayew,Muluneh"
